*DAY*,*HOURS*,*LINK*(optional)
Monday:,CLOSED,
Tuesday:,CLOSED,
Wednesday:,CLOSED,
Thursday:,CLOSED,
Friday:,12pm - until sold out,
Saturday:,12pm - until sold out,
Sunday:,ALE TALES 12pm - until sold out (see below),https://goo.gl/maps/3is1k5KsXjoEVcXFA
