*DAY*,*HOURS*,*LINK*(optional)
Monday:,CLOSED,
Tuesday:,CLOSED,
Wednesday:,CLOSED,
Thursday:,CLOSED,
Friday:,SNAIL BAR 4 - until sold out,
Saturday:,PINT PICK UP 12-until sold out,
Sunday:,PINT PICK UP 12-until sold out,
